dataset,scale,subtype,metric,n,n_full,mean_rho,std_rho,n_seeds
amazon,C,edge_multihop,context_relevance,34,34,1.0,0.0,20
amazon,C,edge_multihop,composite,3,34,0.616024352966831,0.18413511069522587,20
amazon,C,edge_multihop,composite,5,34,0.6253269596851411,0.17061708735799475,20
amazon,C,edge_multihop,composite,10,34,0.7417842835420017,0.1421362871300973,20
amazon,C,edge_multihop,composite,15,34,0.8080183819474158,0.13931649378645888,20
amazon,C,edge_multihop,composite,20,34,0.8730688083478629,0.08782684217182625,20
amazon,C,edge_multihop,composite,30,34,0.9660507574081494,0.019452188112070695,20
amazon,C,edge_multihop,composite,34,34,0.9999999999999998,1.1102230246251565e-16,20
amazon,C,all_combined,faithfulness,3,102,0.19006785102657406,0.22677294619289687,20
amazon,C,all_combined,faithfulness,5,102,0.252840356813384,0.2753006328720447,20
amazon,C,all_combined,faithfulness,10,102,0.38389050906858246,0.29492438415220196,20
amazon,C,all_combined,faithfulness,15,102,0.5206156920126923,0.16974816877642285,20
amazon,C,all_combined,faithfulness,20,102,0.6041956890108258,0.18425633008674563,20
amazon,C,all_combined,faithfulness,30,102,0.7019487179487178,0.10482363496891822,20
amazon,C,all_combined,faithfulness,40,102,0.778940170940171,0.09867974396695696,20
amazon,C,all_combined,faithfulness,50,102,0.8219487179487178,0.08390259041417482,20
amazon,C,all_combined,faithfulness,75,102,0.934119658119658,0.034531116167633484,20
amazon,C,all_combined,faithfulness,100,102,0.9935726495726497,0.006520510523832957,20
amazon,C,all_combined,faithfulness,102,102,0.9999999999999998,1.1102230246251565e-16,20
amazon,C,all_combined,answer_relevance,3,102,0.4608635924776344,0.32273097407272927,20
amazon,C,all_combined,answer_relevance,5,102,0.6191381752967883,0.21612356815333955,20
amazon,C,all_combined,answer_relevance,10,102,0.7366495726495725,0.1944164149986361,20
amazon,C,all_combined,answer_relevance,15,102,0.7814700854700855,0.18931670158728844,20
amazon,C,all_combined,answer_relevance,20,102,0.7530598290598289,0.21167747413742258,20
amazon,C,all_combined,answer_relevance,30,102,0.8814700854700854,0.12903259349233778,20
amazon,C,all_combined,answer_relevance,40,102,0.9257435897435897,0.07173962872606614,20
amazon,C,all_combined,answer_relevance,50,102,0.9436923076923078,0.039113427102547955,20
amazon,C,all_combined,answer_relevance,75,102,0.980854700854701,0.011447632372928578,20
amazon,C,all_combined,answer_relevance,100,102,0.99791452991453,0.0022100918097632794,20
amazon,C,all_combined,answer_relevance,102,102,0.9999999999999998,1.1102230246251565e-16,20
amazon,C,all_combined,context_relevance,3,102,0.7011437883203977,0.16694873113982747,20
amazon,C,all_combined,context_relevance,5,102,0.7463736332594809,0.13659981318346545,20
amazon,C,all_combined,context_relevance,10,102,0.790988291802264,0.14487481044920594,20
amazon,C,all_combined,context_relevance,15,102,0.8438883192111699,0.09380582787466499,20
amazon,C,all_combined,context_relevance,20,102,0.9008830009839619,0.0823395624166988,20
amazon,C,all_combined,context_relevance,30,102,0.9319572332800986,0.03580604249071471,20
amazon,C,all_combined,context_relevance,40,102,0.950531145944806,0.032930884975877504,20
amazon,C,all_combined,context_relevance,50,102,0.9537139587908359,0.02752707193799409,20
amazon,C,all_combined,context_relevance,75,102,0.9748609986218814,0.021108805414468933,20
amazon,C,all_combined,context_relevance,100,102,0.998996808117939,0.0017970712191417184,20
amazon,C,all_combined,context_relevance,102,102,1.0,0.0,20
amazon,C,all_combined,composite,3,102,0.6424311893667356,0.22684891874824892,20
amazon,C,all_combined,composite,5,102,0.6912429469515452,0.17907140658774348,20
amazon,C,all_combined,composite,10,102,0.7256410256410255,0.16087101291533498,20
amazon,C,all_combined,composite,15,102,0.7491623931623931,0.150524176297158,20
amazon,C,all_combined,composite,20,102,0.8038290598290597,0.12667760544252335,20
amazon,C,all_combined,composite,30,102,0.8793162393162393,0.08172313298777237,20
amazon,C,all_combined,composite,40,102,0.9003760683760683,0.0839587680444173,20
amazon,C,all_combined,composite,50,102,0.9098461538461537,0.08358181494566926,20
amazon,C,all_combined,composite,75,102,0.9658803418803418,0.034226235067888265,20
amazon,C,all_combined,composite,100,102,0.9951794871794872,0.007863173541083148,20
amazon,C,all_combined,composite,102,102,0.9999999999999998,1.1102230246251565e-16,20
