Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12e,categorical,1.3354620933532717,0.5833333333333334,0.85,0.6159242987632751,0.5833333333333334,,,,-0.0637771554103707,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,1.2786680974452962,9.0,train,False,,,,4
M5,N7,E10b,T12e,global_categorical,,,,,,,,,0.0782574862241745,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,9.0,train,False,,,,4
M1,N7,E10b,T12e,categorical,1.524363398551941,0.5566666666666666,0.8533333333333334,0.5783872604370117,0.5566666666666666,,,,-0.1190809812566973,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,1.3539656857810132,11.0,train,False,,,,5
M5,N7,E10b,T12e,global_categorical,,,,,,,,,0.0870610252022743,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,11.0,train,False,,,,5
M1,N7,E10b,T12e,categorical,1.5756406784057615,0.5433333333333333,0.8333333333333334,0.5551793575286865,0.5433333333333333,,,,-0.0906354158041107,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,1.434705340673147,11.0,train,False,,,,6
M5,N7,E10b,T12e,global_categorical,,,,,,,,,0.1469068676233291,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,11.0,train,False,,,,6
M1,N7,E10b,T12e,categorical,1.5302811861038208,0.5766666666666667,0.8466666666666667,0.5697432160377502,0.5766666666666667,,,,-0.138846654079499,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,1.3717287064786692,10.0,train,False,,,,7
M5,N7,E10b,T12e,global_categorical,,,,,,,,,0.1646673828363418,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,10.0,train,False,,,,7
M1,N7,E10b,T12e,categorical,1.4204503297805786,0.5333333333333333,0.8366666666666667,0.5774571299552917,0.5333333333333333,,,,-0.0466737536320571,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,1.353609540269382,11.0,train,False,,,,8
M5,N7,E10b,T12e,global_categorical,,,,,,,,,0.0476016402244567,0.0,0.4415832566376386,0.0,0.0,-0.7907772499419692,graph_lift,1000.0,0.0,0.0,,11.0,train,False,,,,8
M1,N7,E10b,T12e,categorical,1.3728314638137815,0.5766666666666667,0.86,0.610991358757019,0.5766666666666667,,,,-0.0630917495368095,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,1.3396231503303442,12.0,train,False,,,,9
M5,N7,E10b,T12e,global_categorical,,,,,,,,,0.1170011833310127,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,12.0,train,False,,,,9
M1,N7,E10b,T12e,categorical,1.5783902406692505,0.4333333333333333,0.8266666666666667,0.5531237721443176,0.4333333333333333,,,,-0.1011359517062269,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,1.4166152183796688,11.0,test,False,,,,0
M5,N7,E10b,T12e,global_categorical,,,,,,,,,0.1943628489971161,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,11.0,test,False,,,,0
M1,N7,E10b,T12e,categorical,1.5607901811599731,0.51,0.8433333333333334,0.5768849849700928,0.51,,,,-0.0921429544065384,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,1.4287055268983069,11.0,test,False,,,,1
M5,N7,E10b,T12e,global_categorical,,,,,,,,,0.0917653664946556,0.0,0.1075854117614374,0.0,0.0,-0.12055541581159966,graph_lift,1000.0,0.0,0.0,,11.0,test,False,,,,1
